Season Ending,League,Position,Manger(s),
1990,League Division 1,7,Chris Nicholl,
1991,League Division 1,14,Ian Branfoot,
1992,League Division 1,16,Ian Branfoot,
1993,Premier League,18,Ian Branfoot,
1994,Premier League,18,Alan Ball,
1995,Premier League,10,Dave Merrington,
1996,Premier League,17,Graham Souness,
1997,Premier League,16,Dave Jones,
1998,Premier League,12,Dave Jones,
1999,Premier League,17,Dave Jones,
2000,Premier League,15,Dave Jones / Glenn Hoddle,
2001,Premier League,10,Glen Hoddle,
2002,Premier League,11,Stuart Gray / Gordon Strachan,
2003,Premier League,8,Gordon Strachan,
2004,Premier League,12,Gordon Strachan / Paul Sturrock, 
2005,Premier League,20,Paul Sturrock / Steve Wigley / Harry Redknapp,
2006,FL Championship,12,Harry Redknapp / George Burley,
2007,FL Championship,6,George Burley,
2008,FL Championship,20,George Burley / Nigel Pearson, 
2009,FL Championship,23,Jan Porrtvliet / Mark Wotte,
2010,FL 1,7,Alan Pardew,Points Deduction
2011,FL 1,2,Alan Pardew / Dean Wilkins / Nigel Adkins,
2012,FL Championship,2,Nigel Adkins,
2013,Premier League,14,Nigel Adkins / Mauricio Pochettino,
2014,Premier League,8,Mauricio Pochettino,
2015,Premier League,7,Ronald Koeman,
2016,Premier League,6,Ronald Koeman,Highest PL Finish
2017,Premier League,8,Claude Puel,
2018,Premier League,17,Mauricio Pellegrino / Mark Hughes,
2019,Premier League,16,Mark Hughes / Ralph Hasenhuttl,
2020,Premier League,11,Ralph Hasenhuttl,
2021,Premier League,15,Ralph Hasenhuttl,
2022,Premier League,15,Ralph Hasenhuttl,
2023,Premier League,20,Ralph Hasenhuttl / Nathan Jones / Ruben Selles,